,Tone,Summary,Speech standard,Literary form,Enunciation,Genre,Active character,Fuzzy place,Narrative arc,Literary movement,Time setting,Trope,Intertextuality,Diegetic time,Quoted character,Absolute time,Quoted work
Tone,0.0,8211.0,8200.0,8163.0,8147.0,7837.0,7008.0,5512.0,5149.0,3426.0,3365.0,3189.0,3207.0,1448.0,941.0,475.0,492.0
Summary,8211.0,0.0,8198.0,8160.0,8145.0,7834.0,7007.0,5512.0,5148.0,3424.0,3365.0,3190.0,3205.0,1449.0,941.0,475.0,492.0
Speech standard,8200.0,8198.0,0.0,8156.0,8140.0,7831.0,7000.0,5507.0,5145.0,3425.0,3363.0,3188.0,3204.0,1449.0,941.0,475.0,492.0
Literary form,8163.0,8160.0,8156.0,0.0,8111.0,7811.0,6986.0,5496.0,5143.0,3422.0,3355.0,3188.0,3181.0,1447.0,940.0,470.0,481.0
Enunciation,8147.0,8145.0,8140.0,8111.0,0.0,7794.0,6996.0,5500.0,5147.0,3419.0,3355.0,3182.0,3166.0,1449.0,941.0,469.0,484.0
Genre,7837.0,7834.0,7831.0,7811.0,7794.0,0.0,6726.0,5324.0,5078.0,3414.0,3323.0,3172.0,3160.0,1422.0,916.0,464.0,471.0
Active character,7008.0,7007.0,7000.0,6986.0,6996.0,6726.0,0.0,5058.0,4747.0,2903.0,2997.0,2915.0,2409.0,1404.0,870.0,382.0,394.0
Fuzzy place,5512.0,5512.0,5507.0,5496.0,5500.0,5324.0,5058.0,0.0,3825.0,2252.0,2384.0,2319.0,2043.0,1160.0,619.0,356.0,278.0
Narrative arc,5149.0,5148.0,5145.0,5143.0,5147.0,5078.0,4747.0,3825.0,0.0,2551.0,2271.0,2646.0,1987.0,1090.0,683.0,302.0,267.0
Literary movement,3426.0,3424.0,3425.0,3422.0,3419.0,3414.0,2903.0,2252.0,2551.0,0.0,1617.0,1862.0,1508.0,682.0,421.0,187.0,214.0
Time setting,3365.0,3365.0,3363.0,3355.0,3355.0,3323.0,2997.0,2384.0,2271.0,1617.0,0.0,1281.0,1601.0,907.0,463.0,377.0,237.0
Trope,3189.0,3190.0,3188.0,3188.0,3182.0,3172.0,2915.0,2319.0,2646.0,1862.0,1281.0,0.0,1454.0,664.0,435.0,164.0,193.0
Intertextuality,3207.0,3205.0,3204.0,3181.0,3166.0,3160.0,2409.0,2043.0,1987.0,1508.0,1601.0,1454.0,0.0,443.0,467.0,342.0,344.0
Diegetic time,1448.0,1449.0,1449.0,1447.0,1449.0,1422.0,1404.0,1160.0,1090.0,682.0,907.0,664.0,443.0,0.0,196.0,125.0,103.0
Quoted character,941.0,941.0,941.0,940.0,941.0,916.0,870.0,619.0,683.0,421.0,463.0,435.0,467.0,196.0,0.0,116.0,134.0
Absolute time,475.0,475.0,475.0,470.0,469.0,464.0,382.0,356.0,302.0,187.0,377.0,164.0,342.0,125.0,116.0,0.0,113.0
Quoted work,492.0,492.0,492.0,481.0,484.0,471.0,394.0,278.0,267.0,214.0,237.0,193.0,344.0,103.0,134.0,113.0,0.0
